gene	lfcA	lfcB
gene1	0	0
gene2	-0.811177603815665	0
gene3	0	0
gene4	0	0
gene5	0	0
gene6	0	0
gene7	0	0
gene8	0	0
gene9	0	0
gene10	0	0
gene11	0.582604539298599	0
gene12	0	0
gene13	0	0
gene14	0	0
gene15	0	0
gene16	0	0
gene17	0	0
gene18	0	0
gene19	0	0
gene20	0	0
gene21	0	0
gene22	0	0
gene23	0	0
gene24	0	0
gene25	0	0
gene26	0	0
gene27	0	0
gene28	0	0
gene29	0	-0.745921710401355
gene30	0	0
gene31	0	0
gene32	0	0
gene33	0	0
gene34	0	0
gene35	0	0
gene36	0	0
gene37	1.78709512969807	0
gene38	0	0
gene39	0	0
gene40	0	0
gene41	0	0
gene42	0	0.541528567610225
gene43	0	0
gene44	0	0
gene45	0	0
gene46	0	0
gene47	0	0
gene48	0	0
gene49	0	0
gene50	0	0
gene51	0	0
gene52	0	0
gene53	0	0
gene54	0	0
gene55	0	1.23058635927801
gene56	0	0
gene57	0	0
gene58	0	0
gene59	0	0
gene60	0	0
gene61	0.615017768153264	0
gene62	0	0
gene63	0	0
gene64	0	0
gene65	0	0
gene66	0	0
gene67	0	0.573649853407983
gene68	0	0
gene69	0	0
gene70	-1.71486438707969	0
gene71	0	0
gene72	0	1.54590933906232
gene73	0	0
gene74	0	0
gene75	0	0
gene76	0	0
gene77	0	0
gene78	0	0
gene79	0	0
gene80	0	0
gene81	0	-0.259414146908019
gene82	0	0
gene83	0	0
gene84	0	0
gene85	0	0
gene86	0	0
gene87	0	0.220801862266261
gene88	0	-1.88658980552842
gene89	0	0
gene90	0	1.85605035748659
gene91	0	0
gene92	0	0
gene93	0	1.54486129777351
gene94	0	0
gene95	0.707326541531855	0
gene96	0	0
gene97	0.522051562466386	0
gene98	0	0
gene99	0	0
gene100	0	0
gene101	0	0
gene102	0	0
gene103	0	0
gene104	0	0
gene105	0	0
gene106	0	0
gene107	0	-0.875895209229428
gene108	0	0
gene109	-0.252965864784737	0
gene110	0	0
gene111	0	0
gene112	0	0
gene113	0.913811260503655	0
gene114	0	0
gene115	0	0
gene116	0	0.922056364561173
gene117	0	0
gene118	0	0
gene119	0	0
gene120	0	0
gene121	0	0
gene122	0	0
gene123	0	0
gene124	0	0
gene125	0	0
gene126	0	0
gene127	0	0
gene128	0	0
gene129	-0.582144492892134	0
gene130	0	0
gene131	0	0
gene132	0	0
gene133	0	0
gene134	0	0
gene135	0	0
gene136	0	0
gene137	0	0
gene138	0	0.893690141682068
gene139	0	0
gene140	0	0
gene141	0	0
gene142	-0.50502609777786	0
gene143	0	0
gene144	0	0
gene145	-1.63088821638876	0
gene146	0	0
gene147	0	0
gene148	0	0
gene149	0	0
gene150	0	0
gene151	0	0
gene152	0	0
gene153	0	0
gene154	0	0
gene155	0	-2.2544794935353
gene156	0	0
gene157	0	0
gene158	0	0
gene159	0	0
gene160	0	0
gene161	0	-1.74816640875296
gene162	0	0
gene163	0	0
gene164	0	0.548804543592298
gene165	0	0
gene166	0	0
gene167	0	0
gene168	0	0
gene169	0	0
gene170	0	0
gene171	0	0
gene172	0	0
gene173	0	0
gene174	0	0
gene175	0	0
gene176	0	-1.72333917022756
gene177	0	0
gene178	0	0
gene179	0	0
gene180	0.905579466954855	0
gene181	0	0
gene182	-0.330620549396876	0
gene183	0	-1.29682020585782
gene184	0	0
gene185	0	0
gene186	0	0
gene187	0	0
gene188	0	0
gene189	0	0
gene190	1.49759064186056	0
gene191	0	0
gene192	0	0
gene193	-0.298019506975502	0
gene194	0	0
gene195	0	0
gene196	0	0
gene197	0	0
gene198	0	0
gene199	0	0
gene200	0	0
gene201	0	0
gene202	0	0.0813023699441256
gene203	0	0
gene204	0	0
gene205	0	0
gene206	0	0
gene207	0	0
gene208	0	-2.0830737656036
gene209	0	0.472248495694649
gene210	0	0
gene211	0	0
gene212	0	0
gene213	0	0
gene214	0	-0.0515370598742323
gene215	0	0
gene216	0	0
gene217	0	0
gene218	0	0
gene219	0	0
gene220	0	0
gene221	0	0
gene222	0	0
gene223	0	0
gene224	0	0
gene225	0	0
gene226	0	0
gene227	0	0
gene228	-0.663423198039093	0
gene229	0	0
gene230	0	1.24193531875989
gene231	0	0
gene232	0	-0.799879339751808
gene233	0	0
gene234	0	-0.159917256827466
gene235	0	0
gene236	0	0
gene237	0	0
gene238	0	0
gene239	1.41237895092108	0
gene240	0	0
gene241	0	0
gene242	0	0
gene243	0	0
gene244	0	0
gene245	0.154494455996214	0
gene246	0	0
gene247	0	0
gene248	0	0
gene249	0	0
gene250	0	0
gene251	0	0
gene252	0	0
gene253	0	0
gene254	0	0
gene255	0	0
gene256	0	0
gene257	0	0
gene258	0	0
gene259	0	0
gene260	0	-0.463844877507448
gene261	0	0
gene262	1.11433478786737	0
gene263	0	0
gene264	0	0
gene265	0	0
gene266	0	0
gene267	0	0
gene268	0	0
gene269	0	0
gene270	0	0
gene271	0	0
gene272	0	0
gene273	-0.0426546092096331	0
gene274	0	0
gene275	0	0
gene276	0	0
gene277	0	0
gene278	0	0
gene279	0	0
gene280	0	-1.32341613297835
gene281	0	0
gene282	0	0
gene283	0	0
gene284	0	0
gene285	0	0
gene286	0	0
gene287	0	0
gene288	0	0
gene289	0	0
gene290	0	0
gene291	0	0
gene292	0	0
gene293	0	0
gene294	0	0
gene295	0	0
gene296	0	1.93543182858316
gene297	0	0
gene298	0	0
gene299	0	0
gene300	0	0
gene301	0	0
gene302	0	0
gene303	0	0
gene304	0	0
gene305	0	0
gene306	0	0
gene307	0	0
gene308	0	0
gene309	0	0
gene310	0	0
gene311	0	0.617709237239387
gene312	0	0
gene313	0	0
gene314	0	0
gene315	0	0
gene316	0	0
gene317	0	0
gene318	0.101311015418113	0
gene319	0	0
gene320	0	0
gene321	0	-1.14358584234492
gene322	0	0
gene323	0	0
gene324	0	0
gene325	0	0
gene326	0	0
gene327	0	0
gene328	0	0.111925178734485
gene329	-0.554593423603099	0
gene330	0	0
gene331	0	0
gene332	0	0
gene333	0	0
gene334	0	0
gene335	0	0
gene336	0	0
gene337	-0.335399286648059	0
gene338	0	0
gene339	0	0
gene340	0	0
gene341	0	0
gene342	0	0
gene343	0.936543835966754	-1.25158834434679
gene344	0	0
gene345	1.10852663334887	-1.12307872336887
gene346	0	0
gene347	0	0
gene348	0	0
gene349	0	0
gene350	0	0
gene351	0	0.6055653705341
gene352	0	0
gene353	0	0
gene354	0	0
gene355	0	0
gene356	0	0
gene357	-0.058686979507196	0
gene358	0	0.231221759446694
gene359	0	0
gene360	0	0
gene361	0	0
gene362	0	0
gene363	0	0.026538230327388
gene364	0	0
gene365	0	0
gene366	0	0
gene367	0	0
gene368	0	0
gene369	0	0
gene370	0	0
gene371	0	0
gene372	0	0
gene373	0	0
gene374	0	0
gene375	0	0
gene376	0	0
gene377	0	0
gene378	0	0
gene379	0	0
gene380	0	0
gene381	0	0
gene382	0	0
gene383	0	0
gene384	-0.0105445611501154	0
gene385	0	0
gene386	0	0
gene387	0	0
gene388	0	0
gene389	0	0
gene390	0	0
gene391	-0.0721165798634528	0
gene392	0	0
gene393	0	0
gene394	0	0
gene395	0	0
gene396	0	0
gene397	0	-0.213127628908293
gene398	0	-0.276315156860748
gene399	0	0
gene400	0	0
gene401	0	0
gene402	0	0
gene403	0	0
gene404	0	0
gene405	0	-1.37788034476451
gene406	0.328567572157579	0
gene407	0	0
gene408	0	0
gene409	0	0
gene410	0	0
gene411	0.766894359070028	0
gene412	0	0
gene413	0	0
gene414	0	0
gene415	-2.0333773781732	0
gene416	0	0
gene417	0	0
gene418	0	0.174141073276039
gene419	0	0
gene420	0	0
gene421	0	-1.54295306235251
gene422	0	0
gene423	0	0
gene424	0	0
gene425	0	0
gene426	0	0
gene427	0	0
gene428	0	0
gene429	0	0
gene430	0	0
gene431	0	0
gene432	0	0
gene433	1.27958503904831	0
gene434	0	0
gene435	-1.11723805564043	0
gene436	0	0
gene437	0	0
gene438	0	0
gene439	0	0
gene440	0.240000467896668	0
gene441	0.719048824183477	0
gene442	0	0
gene443	0	0
gene444	0	0
gene445	0	0
gene446	0	0
gene447	0	0
gene448	0	0
gene449	0	0
gene450	0	0
gene451	0	0
gene452	0	0
gene453	0	0
gene454	0	0
gene455	0	0
gene456	0	0
gene457	0	0
gene458	0	0
gene459	0	0
gene460	0	0
gene461	0	0
gene462	0	0
gene463	0	0
gene464	0	0
gene465	0	0
gene466	0	0
gene467	0	0
gene468	-0.846090841634678	0
gene469	0	0
gene470	0	0
gene471	0	0
gene472	0	0
gene473	0	0
gene474	-1.08578716317621	0
gene475	0	0
gene476	0	0
gene477	0	0
gene478	0	0
gene479	0	0
gene480	0	0
gene481	0	0
gene482	0	0
gene483	0	0
gene484	0	0
gene485	0	0
gene486	0	0
gene487	0	0
gene488	0	0
gene489	0	0.19947862282697
gene490	0	0
gene491	0	0
gene492	0	0
gene493	0	0
gene494	2.27698659726082	0
gene495	0	0
gene496	0	0
gene497	0	0
gene498	0	0
gene499	0	0
gene500	0	0
gene501	0	0
gene502	0	0
gene503	0	0
gene504	0	0
gene505	0	0
gene506	0	0
gene507	0	0
gene508	0	0
gene509	0	0
gene510	0	0
gene511	-1.82681854776004	0
gene512	0	0
gene513	0	0
gene514	0	0
gene515	0	0
gene516	0	0
gene517	0	0
gene518	0.335137198011802	0
gene519	0	0
gene520	0	0
gene521	0	0
gene522	0	0
gene523	0	0
gene524	-1.5546936045079	0
gene525	0	0
gene526	-1.04760544837855	0
gene527	0	0
gene528	0	0
gene529	0	0
gene530	0.159393949076252	0.0992860278763605
gene531	0	0
gene532	0	0
gene533	0	0
gene534	0	2.22164531528401
gene535	0	0
gene536	0	0
gene537	0	0
gene538	0	0.822233773342061
gene539	0	0
gene540	0	0
gene541	0	0
gene542	0.144753479617353	0
gene543	0	0
gene544	0	0
gene545	0	0.411679027301385
gene546	0	0
gene547	0	0
gene548	-1.22077537839235	0
gene549	0	0
gene550	0	0
gene551	0	0
gene552	0	0
gene553	0	0
gene554	0	0
gene555	0	0.594779784263402
gene556	0	0
gene557	0	0
gene558	0	0
gene559	0	0
gene560	0	0
gene561	0	0
gene562	0	0
gene563	0	0
gene564	0	0
gene565	2.44422976833773	0
gene566	0	0
gene567	0	0
gene568	-0.576698527822588	0
gene569	0	0
gene570	0	0
gene571	0	0
gene572	0	0
gene573	0	0
gene574	0	0
gene575	0	0
gene576	0	0
gene577	0	0
gene578	0	0
gene579	0	0
gene580	0	0
gene581	0	0
gene582	0	0
gene583	0	0
gene584	0	0.456618310816445
gene585	0	0
gene586	0	0
gene587	0	0
gene588	0	0
gene589	0	0
gene590	0	0
gene591	0	0
gene592	0	0
gene593	0	0
gene594	0	0
gene595	-0.207335439563809	0
gene596	0	0
gene597	0	0
gene598	0	0
gene599	0	0
gene600	0	0
gene601	0	0
gene602	0	0
gene603	2.72532536844708	0
gene604	0	0
gene605	0	0.192491361908439
gene606	0	0
gene607	0	0
gene608	0	0
gene609	0	0
gene610	0	1.00918034289061
gene611	0	0
gene612	0	0
gene613	0	0
gene614	0	0
gene615	0	0
gene616	0	0
gene617	0	0
gene618	0	0
gene619	0	0
gene620	0	0
gene621	0	0
gene622	0	0
gene623	0	0
gene624	0	0
gene625	0	0
gene626	0	0
gene627	0	0
gene628	0	0
gene629	0	1.93759597313351
gene630	0	0
gene631	0	2.40427443669167
gene632	0	0
gene633	0	0
gene634	0	0
gene635	0	0
gene636	0	-1.92422198414751
gene637	0	0
gene638	0	0
gene639	2.04322725083802	0
gene640	0	0
gene641	0	0
gene642	0	0
gene643	0	0
gene644	0	0
gene645	0	0
gene646	0	0
gene647	0	0
gene648	0	0
gene649	0	0
gene650	0	0.596725085306419
gene651	0	0
gene652	0	0
gene653	0	0
gene654	-1.45233666594499	0
gene655	0	0
gene656	0	0
gene657	0	0
gene658	0	0
gene659	0	0
gene660	0	-0.554868263317304
gene661	0	0
gene662	0	0
gene663	0	0
gene664	0	0
gene665	0	0
gene666	0	0
gene667	0	0
gene668	0	0
gene669	0	0
gene670	0	0
gene671	0	0
gene672	0	1.04631175811886
gene673	0	0
gene674	0	0
gene675	0	0
gene676	0	0
gene677	0	0
gene678	0	0
gene679	0	0
gene680	0	0
gene681	0	0
gene682	0.415791368162108	0
gene683	0	0.690655823940884
gene684	0	0.807861451661493
gene685	0	0
gene686	0	0
gene687	0	0
gene688	0	0
gene689	0	0
gene690	0	0
gene691	0	0
gene692	0	0
gene693	0	0
gene694	0	0
gene695	0	0
gene696	0	0
gene697	0	0
gene698	0	0
gene699	0	0
gene700	0	0
gene701	0	0
gene702	0	0
gene703	0	0
gene704	0	0
gene705	0.361624730427926	-2.0297075474303
gene706	0	0
gene707	0	0
gene708	0	0
