gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6
gene1	2320	2529	2559	2915	1525	2062	2606	2917	2521	3365	2308	3207
gene2	2175	3125	2517	3952	2361	2534	712	686	660	788	671	1062
gene3	34	41	34	24	30	49	34	23	46	46	17	34
gene4	885	1207	1188	2014	948	1150	1238	1051	1382	1323	1319	1624
gene5	307	308	305	491	276	374	419	343	422	434	398	476
gene6	186	129	203	139	106	77	151	185	185	215	133	182
gene7	599	652	570	1102	492	673	617	662	1013	678	615	879
gene8	35	6	17	12	7	22	27	1	7	20	15	12
gene9	293	400	472	478	362	352	299	381	385	477	368	515
gene10	509	699	430	719	471	550	556	652	562	799	461	782
gene11	91	130	131	127	70	119	92	87	117	115	107	158
gene12	550	740	659	673	436	699	701	602	639	716	479	690
gene13	2015	3240	2717	4460	1767	2636	2769	2897	2635	3174	2424	3681
gene14	11	35	38	46	30	22	15	25	21	26	13	32
gene15	121	86	105	89	67	122	114	116	113	162	121	129
gene16	2232	3160	3270	3288	2683	2444	2836	2595	3126	3431	2698	3851
gene17	3244	3833	3704	5510	2304	3600	23129	21292	26279	26568	19371	31120
gene18	5	26	6	13	3	3	19	3	9	15	11	11
gene19	99	97	111	147	63	84	120	107	128	125	91	154
gene20	202	183	235	255	86	182	42	50	40	42	33	70
gene21	2092	2304	2588	3276	1759	2502	2371	2515	2295	2909	2221	3363
gene22	16	24	23	25	5	23	9	11	12	11	9	15
gene23	3610	2830	4462	4950	4084	4420	3934	4560	3778	4621	3986	4801
gene24	3207	3098	2917	3523	1929	2960	2862	2788	3323	3248	2671	4287
gene25	3	5	2	37	7	28	7	13	9	5	6	2
gene26	116	143	168	192	85	136	164	152	132	193	156	209
gene27	45	54	68	53	29	78	50	93	74	96	43	87
gene28	2013	2471	1824	2319	1664	2437	494	374	373	483	461	652
gene29	112	140	84	102	67	68	125	75	92	77	76	86
gene30	1314	1546	1285	2061	887	1451	250	289	264	332	251	330
gene31	635	778	671	895	508	712	751	774	723	785	562	1133
gene32	1123	1180	1392	1442	746	1184	1211	1289	918	1151	1073	1666
gene33	46	75	72	49	54	74	94	37	65	38	49	67
gene34	531	522	425	842	379	398	394	715	620	471	375	704
gene35	7	9	1	5	1	2	9	1	1	0	10	5
gene36	1105	1203	1216	1825	974	1298	1571	1252	1488	1440	1255	1843
gene37	3	0	4	6	6	4	3	3	3	6	5	0
gene38	15	16	19	29	20	17	22	19	12	12	9	17
gene39	2089	2255	2015	3078	1846	1975	2286	2451	2224	2482	2352	3168
gene40	240	289	311	317	218	350	372	286	372	368	276	422
gene41	35	90	67	82	53	45	67	71	98	60	67	85
gene42	76	101	129	90	51	93	54	72	110	97	88	120
gene43	3	3	0	1	8	1	1	4	1	9	0	4
gene44	2580	3913	3970	4942	2504	3812	3904	3854	3914	4147	3167	4946
gene45	81	75	109	119	46	59	87	83	123	81	67	86
gene46	2913	3325	3357	4126	2472	2563	1251	1458	1213	1323	931	1663
gene47	1660	2398	2104	2963	1397	2223	2554	2309	2422	2674	1952	2821
gene48	345	369	338	515	235	405	306	245	513	502	340	373
gene49	3464	3576	3289	5225	2403	3739	3516	3907	4576	3732	3738	3915
gene50	228	262	358	529	215	254	374	271	323	424	333	471
gene51	16	41	37	58	45	37	29	27	43	77	42	53
gene52	36	59	78	40	38	42	53	68	58	67	37	73
gene53	59	50	76	106	49	54	90	73	68	81	63	63
gene54	811	915	1123	1511	779	922	3351	2181	2499	2810	2925	3871
gene55	7	5	1	1	8	4	12	16	0	10	3	9
gene56	601	709	783	1095	596	694	799	1011	852	1125	690	765
gene57	400	469	436	676	388	439	491	461	504	532	326	588
gene58	11	8	16	32	7	10	16	33	18	22	8	40
gene59	26	35	17	19	21	28	36	27	11	36	35	23
gene60	102	117	163	153	116	130	119	154	194	155	176	233
gene61	342	497	450	607	291	424	132	103	112	149	114	179
gene62	2681	4024	4468	5411	3454	3776	4770	3992	4207	5895	4217	4444
gene63	696	874	1011	964	594	1089	841	896	748	969	816	976
gene64	173	209	298	277	156	223	230	149	256	265	229	309
gene65	1361	1595	1574	1885	1075	1271	1621	1661	1689	2110	1439	2272
gene66	24	8	14	13	7	13	37	34	23	15	3	11
gene67	45	27	48	32	10	33	25	23	24	23	21	54
gene68	1279	1475	1371	1444	762	1455	1400	994	1343	1509	1102	1882
gene69	502	630	493	640	436	475	519	592	582	591	493	688
gene70	22	15	18	38	7	38	4	24	16	15	13	10
gene71	2	5	2	9	3	6	0	10	5	13	5	14
gene72	14	9	2	14	14	13	16	4	11	7	7	16
gene73	18	22	4	9	28	18	2	3	1	4	5	4
gene74	67	120	141	135	101	134	26	23	37	30	28	47
gene75	22	10	13	5	9	18	31	27	26	12	9	18
gene76	495	720	566	835	403	623	532	649	859	898	613	844
gene77	10	6	12	9	3	3	6	10	6	2	1	0
gene78	47	54	48	74	43	42	66	47	57	54	89	68
gene79	123	203	131	235	118	178	105	100	195	166	187	245
gene80	2	5	0	7	0	1	0	8	7	1	4	1
gene81	227	305	252	396	160	179	217	245	340	279	239	469
gene82	4	7	9	26	14	14	38	73	48	57	30	82
gene83	40	39	65	73	29	39	50	50	69	78	38	109
gene84	335	260	376	576	270	340	431	342	396	424	325	583
gene85	799	823	799	915	599	965	965	888	810	1428	744	1672
gene86	195	186	205	302	167	182	201	215	173	273	137	262
gene87	16	28	21	22	12	17	23	17	20	4	39	40
gene88	7	3	6	21	11	12	3	26	4	2	11	10
gene89	0	6	2	7	6	3	13	5	5	22	10	16
gene90	57	58	39	44	21	30	23	51	34	26	34	63
gene91	413	400	466	620	347	383	438	355	371	527	319	625
