gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8
gene1	630	824	334	699	400	2187	462	323	603	278	233	296	1310	327	199	971
gene2	193	309	128	201	132	366	146	98	188	97	71	128	510	66	77	199
gene3	53	36	47	73	34	126	32	29	37	31	27	15	118	10	18	38
gene4	28	28	34	48	11	159	28	21	6	7	3	7	26	5	3	11
gene5	1148	1325	553	1258	619	3044	595	437	1115	454	217	458	2528	561	413	863
gene6	2222	1363	487	1543	639	4035	1191	636	1058	806	349	811	2854	494	589	1833
gene7	251	230	138	316	144	552	264	160	202	113	80	127	735	80	92	206
gene8	51	40	18	22	25	137	69	45	21	39	28	33	67	23	36	64
gene9	1	3	0	19	5	2	2	2	0	3	3	5	5	1	1	1
gene10	0	0	0	3	3	19	9	3	3	0	2	1	4	1	4	17
gene11	3	1	4	0	2	7	3	0	0	3	0	2	3	0	5	2
gene12	362	399	109	202	115	550	215	85	190	85	67	109	418	85	79	319
gene13	409	595	287	480	251	1086	379	231	349	188	156	227	1457	158	202	486
gene14	153	238	73	148	84	205	125	70	100	39	50	96	226	61	59	138
gene15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene16	65	106	25	16	27	192	32	27	40	37	14	20	103	16	22	24
gene17	3	8	6	2	3	13	0	1	9	4	2	4	3	4	1	12
gene18	262	300	97	275	134	298	189	85	608	465	308	403	3062	472	420	1070
gene19	1	0	2	7	2	1	2	0	0	0	0	0	0	2	0	0
gene20	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0
gene21	1211	1546	648	1144	402	2989	1010	570	728	570	303	568	2420	418	348	965
gene22	135	202	71	168	70	215	138	101	122	75	39	50	292	62	52	185
gene23	851	957	314	671	346	2283	551	386	837	407	225	509	2397	360	189	724
gene24	77	55	11	53	10	156	34	25	22	8	6	36	99	17	10	38
gene25	179	253	76	239	79	429	159	68	164	101	45	76	443	92	57	184
gene26	0	0	0	8	3	2	0	0	0	0	0	1	1	0	1	0
gene27	90	67	36	54	20	37	69	29	29	18	16	28	158	19	29	55
gene28	390	466	257	460	167	478	353	161	297	137	86	210	900	155	99	508
gene29	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
gene30	44	115	20	120	17	112	66	32	23	23	25	40	109	30	26	44
gene31	3	0	9	11	0	4	11	6	3	3	0	0	3	0	0	0
gene32	30	50	32	46	5	104	31	17	30	20	9	19	52	33	15	22
gene33	41	16	6	20	8	70	18	10	12	14	16	19	46	22	16	14
gene34	1452	1844	569	1975	840	2347	988	716	804	503	314	686	3155	414	401	1065
gene35	16	35	17	33	0	16	12	30	6	12	7	9	59	5	9	15
gene36	165	188	81	233	97	341	138	93	94	66	25	82	238	84	55	223
gene37	114	196	86	160	109	402	83	65	104	87	59	107	520	62	82	251
gene38	18	25	4	16	12	23	6	14	14	10	6	11	76	8	13	27
gene39	35	24	2	13	6	78	10	13	15	6	2	6	41	10	4	11
gene40	158	208	124	262	94	647	172	68	136	76	67	132	339	82	63	307
gene41	10	10	1	7	7	27	3	2	5	2	2	12	45	3	1	10
gene42	59	79	37	99	37	219	57	35	52	47	22	58	162	27	9	73
gene43	239	302	133	173	109	390	155	123	185	93	66	197	487	71	54	238
gene44	5959	11962	4285	6347	4202	19814	5944	3401	4686	3149	2507	4665	16090	2259	2056	6560
gene45	13	2	4	27	2	9	7	6	13	2	0	0	9	1	3	0
gene46	54	136	39	174	61	369	110	39	51	41	21	66	139	32	38	69
gene47	107	222	71	134	86	287	203	106	91	59	57	69	373	76	46	191
gene48	276	475	230	391	238	760	203	184	728	593	376	574	2474	480	313	1109
gene49	495	409	126	280	180	845	317	122	262	155	91	171	922	106	122	330
gene50	8064	7293	3088	4869	3475	12562	4142	3500	4210	3122	1943	3768	15473	1825	2900	6307
gene51	38	44	8	28	13	76	20	15	3	5	5	25	37	7	5	52
gene52	39	17	21	25	10	16	4	8	0	15	3	9	110	7	4	12
gene53	36	21	4	13	4	53	16	19	7	0	2	33	21	2	4	22
gene54	4	2	1	6	6	11	7	3	2	4	0	3	10	0	5	1
gene55	15	9	4	21	6	8	4	4	30	9	4	9	92	9	7	16
gene56	11	0	5	10	1	10	0	0	0	18	7	0	19	1	1	26
gene57	716	639	354	452	340	1274	464	315	497	325	171	292	1105	206	165	535
gene58	73	68	10	58	27	84	31	36	22	15	22	16	76	14	14	112
gene59	932	911	285	763	298	1898	390	390	509	352	140	379	1929	242	260	839
gene60	69	129	28	85	28	194	29	68	9	3	3	2	33	4	6	3
gene61	3691	3870	1783	2569	1632	6922	2227	1430	2465	1516	752	1856	6494	1094	1117	3077
gene62	600	510	346	562	299	1186	401	295	392	276	154	403	1008	263	168	586
gene63	329	333	123	250	122	661	309	101	177	123	166	215	495	97	102	365
gene64	103	89	66	114	80	297	102	63	114	37	44	60	262	55	44	76
gene65	3369	4183	1617	4217	1726	6434	2572	1864	2817	1449	910	1382	7545	1135	1247	2995
gene66	56	68	19	77	54	127	37	32	42	19	25	52	189	44	33	72
gene67	3	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
gene68	391	512	233	428	151	1079	316	225	1804	1021	834	1649	5570	664	937	2910
gene69	254	321	145	177	114	501	158	153	51	40	13	41	149	14	18	60
gene70	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
gene71	1164	1286	515	984	471	2679	781	580	657	632	323	576	1564	387	293	1035
gene72	0	12	0	12	0	21	1	2	1	3	0	0	26	1	0	20
gene73	161	206	106	195	113	399	215	47	67	54	26	94	332	52	43	126
gene74	138	115	53	75	52	245	82	44	37	17	14	34	105	11	7	57
gene75	151	133	52	138	29	301	88	55	392	283	162	312	1905	265	379	810
gene76	29	33	32	37	18	62	14	12	17	15	17	27	95	11	13	39
gene77	1619	2676	1107	1950	1062	3895	1637	1208	1406	1048	709	1301	4391	757	561	2917
gene78	614	545	120	346	201	479	583	241	221	222	85	138	986	112	131	478
gene79	44	13	0	7	1	8	3	2	1	5	0	0	8	1	3	9
gene80	63	78	53	101	19	96	47	37	50	72	12	39	126	22	27	82
gene81	0	5	1	5	0	0	2	0	13	1	0	2	2	2	1	20
gene82	635	1057	326	908	467	1840	514	395	537	379	203	391	1938	377	231	761
gene83	602	750	195	692	234	1508	582	334	373	202	147	260	885	186	211	504
gene84	2	6	0	0	0	5	0	0	0	0	0	0	4	0	0	0
gene85	72	243	47	142	15	148	71	87	341	288	110	283	1330	260	135	558
gene86	1023	1301	456	923	658	2201	956	481	628	404	279	532	2728	365	274	1019
gene87	86	90	35	68	35	111	34	14	22	17	18	57	162	28	13	67
gene88	24	40	39	37	12	156	23	30	26	26	6	25	114	20	21	51
gene89	89	73	14	42	24	138	50	12	19	35	26	12	63	14	12	32
gene90	642	800	300	535	277	847	402	261	2149	1640	1240	1837	8715	1311	943	3289
gene91	0	2	2	2	3	1	1	3	2	0	2	1	13	1	0	2
gene92	13	23	17	20	8	81	6	10	27	4	2	7	101	9	5	29
gene93	18	9	8	37	2	12	5	4	9	12	7	12	32	2	2	33
gene94	542	347	140	393	154	621	389	199	329	130	103	255	888	109	157	457
gene95	346	392	90	215	130	495	272	97	215	93	57	90	620	94	93	303
gene96	6	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0
gene97	1	1	0	2	4	5	2	6	11	1	4	0	26	2	0	8
gene98	4	2	4	5	0	40	0	0	11	7	0	8	11	11	0	28
gene99	81	141	28	69	24	139	57	27	45	24	13	61	143	28	31	90
gene100	1114	1508	614	1077	633	2110	782	607	1032	542	313	580	2445	573	428	1066
gene101	11927	17663	7313	15279	5213	25280	6856	7840	8145	4705	3057	5021	32283	3658	5621	9464
gene102	193	318	101	177	124	417	202	139	115	93	62	125	524	64	126	280
gene103	1016	1205	466	908	486	2132	514	542	308	216	126	243	1122	179	130	519
gene104	113	89	56	83	97	205	116	36	73	57	21	38	278	26	32	86
gene105	9	4	2	7	0	6	2	4	0	0	0	0	3	0	0	6
gene106	236	243	110	240	93	416	121	88	124	63	45	85	361	84	52	147
gene107	43	51	15	59	23	122	25	26	14	30	10	21	132	27	13	65
gene108	1156	1915	537	1308	483	2340	885	560	676	536	335	661	2393	513	368	1245
gene109	9	19	25	12	6	58	18	11	13	4	2	3	48	7	5	13
gene110	8	9	1	4	2	31	1	9	7	2	0	4	16	1	0	1
gene111	1	1	1	2	3	3	0	2	1	0	0	7	10	0	0	0
gene112	1228	1583	403	983	488	1931	770	631	774	540	375	613	1918	444	284	929
gene113	28	20	21	39	6	27	17	2	9	10	4	6	41	4	2	15
gene114	71	101	34	52	29	182	43	66	41	36	8	26	220	34	22	102
gene115	11	15	11	35	7	118	18	8	5	5	5	10	16	3	2	34
gene116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
gene117	6498	8515	2381	6179	3246	17845	5124	3037	3893	2249	1473	2946	12971	2307	2141	8140
gene118	317	328	108	246	123	465	219	111	145	148	112	175	597	74	91	344
gene119	61	53	17	19	16	127	43	27	33	23	11	33	125	8	13	48
gene120	504	849	283	577	360	1220	508	340	388	279	123	356	1297	194	181	737
gene121	30	105	24	57	7	82	69	21	28	29	15	42	115	13	19	46
gene122	43	26	14	34	34	72	28	24	41	11	7	27	39	6	3	45
gene123	2	4	2	4	0	15	10	0	4	4	0	0	0	1	2	0
gene124	60	60	20	93	17	90	45	45	19	20	8	76	92	14	11	40
gene125	5	14	6	7	2	33	3	4	13	3	1	17	38	1	1	46
gene126	56	139	35	74	58	90	83	29	60	25	19	51	301	41	24	87
gene127	9	2	0	5	2	26	10	6	0	5	6	2	9	0	3	3
gene128	4	40	0	1	8	4	2	4	1	0	2	0	21	0	0	5
gene129	26	59	10	30	10	85	9	6	22	9	12	7	52	4	5	42
gene130	297	449	66	292	113	712	100	158	20	17	7	18	79	8	15	33
gene131	16	5	11	3	2	7	5	2	3	16	6	8	20	3	4	6
gene132	148	129	34	149	48	152	96	42	45	67	25	80	326	46	16	154
gene133	17	10	18	13	9	17	7	13	15	1	7	11	26	17	1	4
gene134	84	146	62	120	36	155	44	35	51	30	18	54	309	33	20	89
gene135	4236	6557	1823	3934	1825	8947	2793	1805	16615	8889	5751	10833	51599	8264	6800	22183
gene136	3	13	8	5	3	59	1	14	4	3	0	4	13	0	15	3
gene137	0	4	0	10	1	62	9	3	2	3	2	10	13	0	1	2
gene138	395	442	158	264	167	633	304	142	155	118	49	87	552	122	99	308
gene139	121	223	86	193	48	335	120	50	128	69	32	117	294	42	37	175
gene140	36	43	8	22	12	82	37	35	46	26	9	36	114	10	3	57
gene141	193	545	130	309	127	818	191	178	107	142	68	123	733	81	83	434
gene142	4	3	0	3	0	18	3	0	5	0	7	0	0	0	2	3
gene143	12	5	4	14	5	26	5	3	2	8	0	3	13	5	3	14
gene144	3260	5938	1625	4639	1766	8027	3555	2231	3055	1816	1429	2214	10193	1531	1426	5088
gene145	539	990	293	517	306	953	334	251	442	385	116	282	1705	184	239	582
gene146	436	831	240	417	230	1236	290	240	264	210	143	203	809	160	138	532
gene147	5041	5464	1711	4815	2182	9380	2773	1965	2235	1614	1115	2087	7084	1860	1412	5317
gene148	97	172	38	68	53	199	112	23	58	30	40	53	249	43	57	59
gene149	729	629	244	692	292	1251	375	336	284	202	119	288	1198	213	195	534
gene150	939	1111	483	851	342	2231	543	416	711	405	233	393	2429	349	392	924
gene151	6	5	9	6	7	43	9	1	0	0	2	0	2	2	2	0
gene152	59	93	40	50	31	142	41	32	54	42	28	25	233	45	20	64
gene153	20111	21615	9938	21922	11781	46119	16787	10053	14574	8285	4881	8762	48633	7541	6013	18508
gene154	2049	1503	743	2015	503	2481	863	628	791	490	398	669	2463	448	350	1341
gene155	14	8	4	28	6	20	5	16	9	9	7	23	7	3	12	28
gene156	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
