gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene1	5.02246900331608913e2	7.26534859946721956e-2	1.40507795766482146e-1	5.17077971356259325e-1	6.05101684679856588e-1	9.49757539102533133e-1
gene2	1.53105916998124343e2	1.15087993784736428e-1	1.46247724196475776e-1	7.86938698821200378e-1	4.31317738337495260e-1	8.86700588879661300e-1
gene3	3.88227265961697512e1	-1.61737957757165457e-1	2.85696518099173735e-1	-5.66118057137194097e-1	5.71313481130783507e-1	9.37137995484555786e-1
gene4	1.86693754210103862e1	-1.86039633062127852e0	3.72601594912061240e-1	-4.99299078701033494e0	5.94513939305166637e-7	7.59491557462350420e-6
gene5	7.72120029431300736e2	5.60377167695860212e-2	1.51797010855037356e-1	3.69162188727818585e-1	7.12006834458872251e-1	9.69168137181581124e-1
gene6	1.03688997601974211e3	9.51585879999047174e-2	1.36273235994201436e-1	6.98292568644614864e-1	4.84994214097861587e-1	9.06953868470328217e-1
gene7	1.87269826300009981e2	-5.81730881115831919e-2	1.51384497208067376e-1	-3.84273747870155780e-1	7.00775553917300287e-1	9.67960253547761051e-1
gene8	4.24450330354164365e1	3.14683996766578544e-1	3.19898398519677440e-1	9.83699819138737719e-1	3.25263142643375136e-1	8.30778165577811922e-1
gene9	3.23046137687577284e0	-2.05411852841356740e-1	8.75636683221373113e-1	-2.34585709778248025e-1	8.14530337319556597e-1	9.84759973047995896e-1
gene10	3.56362683865747787e0	3.90263247889032661e-1	8.93646083132531466e-1	4.36708955877731952e-1	6.62322404634215989e-1	9.60586798774127892e-1
gene11	2.27425880732818886e0	2.86098804741728663e-1	1.00654213960859518e0	2.84239271743735700e-1	7.76227051049184325e-1	9.80107352089674255e-1
gene12	1.68620503745214251e2	-9.12851174312538233e-2	1.60124213650538388e-1	-5.70089403408270190e-1	5.68617014131874599e-1	9.36274769015317587e-1
gene13	3.45093956027350089e2	9.16426740378165211e-2	1.23405281022840957e-1	7.42615496502572414e-1	4.57714480970009885e-1	8.96751935465201488e-1
gene14	1.02477062917009249e2	-3.09735864128307288e-2	1.83078363935406524e-1	-1.69182123692992986e-1	8.65653400859838773e-1	9.88352533893299801e-1
gene15	3.34779994988250451e-2	2.38717281734086989e-1	3.05444372939111330e0	7.81540938001414748e-2	9.37705403809169558e-1	9.93766132701380478e-1
gene16	3.73392771541834776e1	-1.52918376304971460e-1	3.11044105514505453e-1	-4.91629237120650542e-1	6.22981428647961577e-1	9.53275105201780826e-1
gene17	4.40584049688591328e0	8.03102722856258833e-1	6.85048163082583095e-1	1.17233030629912682e0	2.41064485125155908e-1	7.54675650187190850e-1
gene18	4.57466984519000675e2	2.31858843910436141e0	1.47411484990486868e-1	1.57286824649652690e1	9.61918757915666974e-56	4.94074199136632140e-54
