gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene1	2.50265456664941848e3	1.39502284790585462e-1	8.46802993453578123e-2	1.64739952349061936e0	9.94759502702090154e-2	4.52163410319131875e-1
gene2	1.78216183150571396e3	-2.01633506716869437e0	9.57274827139821261e-2	-2.10632830823847073e1	1.72776356298797840e-98	7.67894916883545973e-97
gene3	3.40336533852280638e1	-2.76320286672993187e-1	2.89125183628301197e-1	-9.55711582109118774e-1	3.39217980931613650e-1	8.17392725136418363e-1
gene4	1.24303224174956677e3	-2.03399877035443100e-2	1.09293238976144749e-1	-1.86104720603841589e-1	8.52362661180919634e-1	9.77617272669236814e-1
gene5	3.71147241925077594e2	1.32182198911394461e-1	1.10499364680498202e-1	1.19622587237121913e0	2.31608442850193830e-1	7.01843766212708609e-1
gene6	1.55101803504842991e2	1.51679378744009913e-1	1.96344500182657089e-1	7.72516564522582994e-1	4.39808523286352893e-1	8.44334055459097677e-1
gene7	6.93456705517496516e2	-2.02925710056598005e-3	1.26976832812598639e-1	-1.59813176594261162e-2	9.87249263088028517e-1	9.99340791286728369e-1
gene8	1.51982861251553398e1	-4.55440160457033838e-1	5.34386637815263299e-1	-8.52267119400689110e-1	3.94065849320041239e-1	8.44334055459097677e-1
gene9	3.91592673838371184e2	-1.21588466139474050e-1	1.21060953709903274e-1	-1.00435741181120086e0	3.15206385151417579e-1	8.06886360846098993e-1
gene10	5.84972650165307982e2	9.98313847105220843e-3	1.15453981587848017e-1	8.64685507918678264e-2	9.31093887448185220e-1	9.85284536982206527e-1
gene11	1.09145794747908397e2	-1.30401370404321898e-1	1.55943880235764026e-1	-8.36207039398880858e-1	4.03038434355188713e-1	8.44334055459097677e-1
gene12	6.20185719105889575e2	-1.23305061065101557e-1	9.77805700152124257e-2	-1.26103847672311686e0	2.07294997790510888e-1	6.68693541259712587e-1
gene13	2.77194535449345312e3	-5.54232710384829422e-2	9.61456930963394685e-2	-5.76450897108287230e-1	5.64310402866805783e-1	9.28116350725669781e-1
gene14	2.55559645812707394e1	-6.18442428972208913e-1	3.21978792902774091e-1	-1.92075516339660335e0	5.47625769240452087e-2	2.92067076928241132e-1
gene15	1.10439870552341858e2	1.92715397466194954e-1	1.79224775047374135e-1	1.07527208453884171e0	2.82252948047597263e-1	7.68035232782577570e-1
gene16	2.91830307507296538e3	-5.06206910785436462e-2	9.69731774420532072e-2	-5.22007140673433012e-1	6.01665312581396994e-1	9.28116350725669781e-1
gene17	1.32732339247379296e4	2.60170015023167078e0	7.77108860684666003e-2	3.34792238495319978e1	9.67080332205893582e-246	3.86832132882357430e-243
