gene	normal_1	normal_2	normal_3	normal_4	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8	tumor_9	tumor_10	tumor_11	tumor_12
gene1	7555	4408	16481	7511	5026	6991	11120	20400	10279	11535	5632	18612	12646	2565	6736	6918
gene2	0	2	6	7	3	7	0	6	13	4	4	5	12	0	6	4
gene3	7	0	5	4	24	44	84	143	64	31	45	34	24	17	41	26
gene4	14	10	23	19	2	6	14	16	4	13	4	24	10	3	14	12
gene5	3	0	10	14	4	1	2	1	5	6	3	18	7	2	7	4
gene6	5	1	5	1	3	9	17	23	8	2	2	11	2	2	8	1
gene7	192	135	524	184	221	295	367	681	242	518	201	597	445	103	268	188
gene8	52	12	67	47	20	47	52	88	35	31	31	118	86	10	34	26
gene9	66	19	169	73	41	39	111	92	65	51	91	97	114	36	61	44
gene10	5121	3000	10510	4563	3586	5614	8778	12893	8191	8261	9671	11289	10072	3376	4733	4755
gene11	126	26	147	99	54	88	91	150	153	124	140	213	156	77	73	87
gene12	16641	8006	42090	15803	12180	17572	23232	43534	21265	30887	21793	45757	34798	8547	19010	17601
gene13	7892	4248	12883	4629	3559	8321	7735	15145	7891	12699	6391	18343	17600	3700	9217	7541
gene14	59	40	189	86	84	118	93	218	126	125	76	117	167	37	96	98
gene15	3068	1750	6957	3011	2640	2318	3542	8284	4115	4480	3704	8244	5136	1410	3237	2093
gene16	115	69	235	154	84	106	204	407	273	209	175	297	244	68	135	111
gene17	24	1	16	6	6	4	4	8	5	1	1	9	13	12	3	1
gene18	13	10	29	25	5	7	24	119	38	30	15	60	43	9	22	15
gene19	45	13	110	63	24	17	11	40	15	34	29	43	50	6	24	14
gene20	502	176	999	373	347	446	465	945	404	688	526	1147	808	169	608	444
gene21	370	152	578	270	159	319	395	645	424	608	392	632	718	113	342	300
gene22	221	95	333	186	149	193	266	728	249	449	272	442	514	107	181	142
gene23	1001	453	1504	651	586	837	860	2311	930	1606	891	2551	1506	396	653	798
gene24	2	4	1	1	0	1	0	1	4	0	0	0	2	0	0	2
gene25	758	461	1590	421	455	758	1117	1581	1139	1236	1051	1740	1364	324	713	642
gene26	80	26	133	88	36	47	71	201	67	145	59	114	118	21	49	65
gene27	267	92	410	156	189	284	240	630	461	488	324	541	457	87	263	234
gene28	200	47	267	158	305	379	963	630	713	606	810	1026	968	243	546	358
gene29	8	3	9	6	4	15	2	10	9	9	14	4	17	1	22	1
gene30	10	28	45	38	15	27	32	47	21	59	81	70	78	21	24	22
gene31	8	0	12	5	2	2	13	20	30	6	26	17	1	6	10	3
gene32	222	99	398	270	161	262	222	784	270	348	251	578	412	103	218	183
gene33	67	20	103	45	45	86	85	210	84	100	76	158	94	28	34	59
gene34	28	27	40	23	28	34	52	116	27	36	55	109	92	27	28	28
gene35	6	8	22	26	25	21	30	73	15	17	22	37	47	11	18	35
gene36	15	7	42	25	16	16	3	15	39	25	24	26	14	6	15	26
gene37	519	188	703	405	313	584	583	1044	446	786	438	1325	982	179	365	278
gene38	5	3	1	2	11	9	9	37	3	0	6	17	7	0	1	1
gene39	22	22	51	19	27	41	55	112	69	36	53	35	82	9	31	57
gene40	83	31	148	107	59	77	152	255	88	120	107	234	131	40	62	96
gene41	735	296	1137	655	408	640	914	1150	938	1093	722	1600	1334	311	652	606
gene42	11	4	14	6	5	4	12	26	48	21	19	12	28	0	9	9
gene43	17	18	22	18	15	54	34	45	27	41	20	56	35	4	24	13
gene44	1	5	0	0	1	2	0	5	1	5	8	10	16	0	0	0
gene45	40	10	55	52	16	14	40	52	45	47	31	40	37	8	16	40
gene46	21	17	39	29	2	2	6	12	4	8	6	29	16	3	4	3
gene47	985	435	1780	957	684	1012	1520	2552	1409	1041	1249	2268	2146	422	958	921
gene48	143	60	476	132	174	169	222	596	190	281	194	357	311	72	185	199
gene49	60	20	131	43	59	50	53	76	65	58	90	106	167	29	97	66
gene50	230	127	723	339	293	329	534	921	604	497	663	778	893	174	306	394
gene51	22	12	64	31	8	25	68	109	25	49	16	47	30	21	41	28
gene52	26	44	107	27	18	49	68	188	57	61	30	118	72	12	70	37
gene53	122	50	147	70	108	151	179	265	163	190	82	244	368	56	128	121
gene54	2221	950	3538	1687	1459	2278	2687	5115	2148	2659	2416	4000	5363	944	1922	1983
gene55	175	142	471	242	161	243	219	465	274	371	274	677	424	79	229	272
gene56	103	48	307	96	328	657	750	1468	661	1133	674	2059	1042	271	463	368
gene57	5	1	1	2	0	2	0	1	0	10	2	0	9	0	0	1
gene58	78	69	128	70	35	29	47	108	31	64	59	90	79	22	50	33
gene59	99	45	129	39	87	65	100	250	55	114	90	122	143	35	31	53
gene60	1	0	2	7	5	2	3	27	25	8	5	39	4	5	0	9
gene61	46	13	176	36	26	58	122	133	49	100	92	120	97	16	55	32
gene62	75	27	93	57	62	91	117	129	74	214	97	159	107	35	103	54
gene63	148	60	378	107	130	161	174	378	143	223	256	388	353	63	190	196
gene64	283	106	479	185	193	258	248	526	256	296	207	461	494	96	184	180
gene65	81	44	128	64	47	106	230	331	118	122	84	282	151	34	138	91
gene66	757	283	865	399	334	665	874	993	850	1006	676	1409	1156	226	446	460
gene67	278	143	609	188	34	41	65	95	70	86	44	122	133	29	56	49
gene68	573	250	1158	544	401	646	678	1218	883	876	519	1042	983	266	648	616
gene69	781	335	1183	672	469	932	1045	2001	1134	1257	915	1592	1247	329	875	515
gene70	208	115	407	165	101	254	325	457	324	344	263	473	309	89	215	217
gene71	103	85	234	106	103	136	210	294	157	161	149	304	196	60	144	152
gene72	5	2	4	2	6	1	1	15	3	4	20	8	6	0	12	2
gene73	5	3	23	7	6	10	12	42	18	10	22	29	28	1	19	12
gene74	10	6	8	12	10	7	2	20	18	5	9	21	24	5	20	11
gene75	0	9	0	0	6	1	2	0	0	0	1	0	0	0	1	2
gene76	0	1	4	11	4	1	1	23	7	1	3	0	14	1	3	0
gene77	0	9	3	10	8	7	20	4	9	9	31	6	12	0	1	2
gene78	8	2	19	21	6	21	15	42	31	26	5	25	13	6	19	5
gene79	35	19	91	28	33	43	54	135	59	47	44	90	66	18	66	37
gene80	8176	4575	17955	11203	9154	12863	11501	23568	12954	13080	14156	25527	23055	4962	7989	9753
gene81	91	44	183	68	80	102	98	191	156	111	96	206	200	32	110	86
gene82	20	30	107	49	20	58	94	185	69	111	54	79	125	23	41	61
gene83	48	26	80	31	36	46	33	98	59	47	88	53	96	18	86	55
gene84	54	8	69	21	6	13	65	63	12	12	13	44	42	16	13	18
gene85	13	3	21	13	1	4	14	6	19	29	6	13	3	1	8	7
gene86	26	4	99	10	11	47	49	58	30	44	12	96	67	7	16	7
gene87	20	14	66	11	20	44	39	39	36	17	22	102	16	8	19	13
gene88	28	21	15	29	11	28	22	30	33	21	17	53	62	9	20	19
gene89	0	0	2	0	0	1	0	0	1	10	1	0	0	0	0	3
gene90	199	83	415	170	122	223	147	340	282	238	215	416	360	59	175	202
gene91	1618	766	3226	1284	1313	2195	2492	2995	1834	2307	1657	3085	3774	824	1301	2063
gene92	5	11	2	3	11	2	14	35	11	43	18	26	11	3	3	10
gene93	194	93	275	181	31	40	51	100	61	57	38	81	88	16	43	53
gene94	50	49	165	71	45	57	113	187	132	98	81	286	169	26	97	57
gene95	249	148	708	253	1505	1347	1919	3762	1496	1721	1463	3538	3036	676	1122	1140
gene96	18	2	33	10	2	0	15	7	7	11	15	38	6	8	3	8
gene97	682	257	1174	443	377	607	845	1347	686	807	741	1123	909	252	532	590
gene98	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
gene99	21	5	39	27	11	16	50	72	14	43	11	17	30	8	37	6
gene100	26	11	61	14	19	63	37	117	50	33	39	93	46	11	60	22
gene101	145	96	297	121	22	26	35	84	30	30	52	45	71	8	26	22
gene102	148	68	350	128	181	220	208	439	183	318	204	393	295	68	169	161
gene103	33	19	114	35	30	69	39	62	57	55	62	74	68	11	52	30
gene104	2	1	2	6	4	0	0	3	7	13	1	4	17	1	1	3
gene105	95	59	143	129	48	100	163	167	187	88	142	274	159	46	73	126
gene106	3	1	12	0	0	7	2	1	1	1	0	1	0	0	6	2
gene107	346	247	645	275	360	453	683	883	454	452	472	1012	1060	195	404	332
gene108	437	225	831	359	326	607	608	874	509	828	648	941	923	185	430	473
gene109	351	155	570	218	202	328	291	624	332	571	330	551	557	158	301	377
gene110	95	30	133	51	55	58	115	137	68	48	80	146	105	20	62	50
gene111	15	16	26	14	8	0	15	13	11	10	8	9	22	2	3	7
gene112	284	93	176	107	85	168	174	294	191	142	105	360	204	61	152	134
gene113	118	99	363	159	206	205	263	380	173	440	195	451	439	97	191	156
gene114	152	76	355	122	144	126	258	398	319	326	206	370	372	139	193	124
gene115	5	2	5	2	3	5	21	6	8	11	2	46	25	1	4	2
gene116	1715	785	2984	1484	1262	1300	1702	2946	1480	2202	1546	3040	3053	751	1316	1502
gene117	0	0	15	1	1	0	2	9	8	4	1	10	1	1	0	3
gene118	507	273	989	588	487	752	569	939	975	757	684	1044	1174	281	547	373
gene119	327	178	993	510	314	510	615	895	485	596	460	751	818	224	385	438
gene120	68	35	165	81	62	114	144	170	133	189	105	283	213	48	109	105
gene121	0	4	14	0	0	7	0	0	5	0	0	2	2	0	0	1
gene122	1480	650	2937	1350	1032	1534	2562	3151	2274	2363	2190	2819	2621	863	1466	1383
gene123	179	99	410	312	167	215	298	608	303	375	261	611	287	113	252	190
gene124	35	10	57	11	26	32	49	91	28	84	35	38	51	15	43	21
gene125	183	177	455	183	167	220	289	426	248	298	190	517	517	84	221	169
gene126	789	524	2225	1048	1094	1612	1738	2843	1610	2360	1559	2728	3171	580	1300	1212
gene127	153	81	368	99	84	210	184	194	190	229	167	296	377	43	196	122
gene128	61	12	66	41	48	89	62	91	63	80	69	76	86	31	49	42
gene129	8	0	6	0	1	0	13	5	2	1	0	9	5	1	0	0
gene130	444	212	838	319	313	480	528	1070	452	664	568	934	793	160	380	475
gene131	20	3	12	7	4	7	8	8	12	7	4	47	25	6	15	13
gene132	238	101	489	249	199	243	414	527	268	381	430	469	409	133	219	182
gene133	298	124	593	249	234	447	403	545	340	543	322	922	648	166	228	255
gene134	105	49	252	109	131	107	88	192	98	158	154	324	149	47	129	100
gene135	535	316	1209	510	490	830	826	1375	815	927	545	1169	1251	298	541	573
gene136	8	0	7	4	15	5	8	9	4	11	15	17	1	6	17	2
gene137	161	126	230	104	95	149	159	312	134	171	148	227	221	40	111	98
gene138	195	221	486	287	258	491	604	770	312	620	409	1021	758	173	372	253
gene139	60	29	181	109	80	101	78	113	193	88	98	197	221	34	87	88
gene140	409	175	594	249	295	590	666	921	676	628	532	990	1042	200	390	460
gene141	0	1	11	1	0	0	0	1	1	4	0	2	8	0	1	5
gene142	9	3	20	10	2	11	18	5	3	6	8	2	11	0	17	11
gene143	82	45	127	73	52	46	73	308	112	103	55	241	236	42	80	72
gene144	75	21	214	63	40	87	154	254	95	117	84	210	188	11	64	62
gene145	121	84	264	129	121	121	189	475	161	203	128	232	202	97	107	83
gene146	32	10	81	50	10	47	86	77	65	43	50	106	173	11	36	79
gene147	19	1	17	7	1	6	4	2	3	38	5	10	7	3	8	4
gene148	106	86	296	159	67	181	236	268	291	189	180	287	236	73	173	168
gene149	65	42	177	90	100	127	152	210	112	258	105	210	110	35	105	128
gene150	3	2	13	2	4	2	4	1	5	4	0	15	5	0	7	2
gene151	16	15	28	8	17	20	49	19	39	55	16	42	67	12	30	25
gene152	374	224	976	337	378	534	529	1153	805	762	750	1029	1263	211	491	503
gene153	4	1	5	8	1	0	13	11	17	6	6	6	14	6	3	1
gene154	29	20	71	26	42	36	45	90	39	54	44	136	42	13	34	41
gene155	188	123	499	206	114	216	278	704	313	270	199	397	415	108	181	151
gene156	13	5	23	7	4	5	12	5	4	19	3	13	11	6	10	7
gene157	5	1	5	0	3	0	10	0	0	0	0	1	0	0	2	0
gene158	592	280	1327	644	491	638	734	1321	627	1189	733	1442	1464	392	692	490
gene159	620	220	1306	656	564	671	837	1593	943	1587	732	1751	1300	337	695	482
gene160	52	16	100	30	21	40	62	136	62	27	57	66	91	17	28	62
gene161	41	41	261	96	104	122	174	212	100	185	153	190	195	49	91	137
gene162	44	23	111	36	47	74	62	131	99	76	59	200	120	29	32	29
gene163	63	26	44	45	35	134	144	186	123	133	115	227	129	57	98	60
gene164	194	98	304	142	110	260	368	506	319	447	405	691	641	143	222	222
gene165	394	174	1065	539	370	524	528	1123	386	560	539	829	993	217	468	539
gene166	7	10	21	13	20	39	29	78	25	25	24	23	46	18	13	14
gene167	73	35	211	54	66	97	65	248	130	145	164	200	118	32	85	112
gene168	202	77	380	156	143	267	276	566	244	311	205	470	383	101	181	149
gene169	70	61	166	72	79	136	166	167	183	116	153	259	163	57	63	82
gene170	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0
gene171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
gene172	160	52	193	65	121	169	127	305	170	259	195	347	394	65	120	143
gene173	661	237	1312	560	454	956	681	1495	769	926	704	1367	1254	228	658	545
gene174	9	0	0	9	4	5	2	8	7	0	0	1	4	1	4	2
gene175	147	78	348	153	117	229	293	300	236	285	323	386	370	64	233	145
gene176	102	34	108	69	60	79	156	243	94	126	99	186	209	46	48	58
gene177	287	129	393	176	629	995	1296	1649	1070	1193	1122	1785	1896	272	874	1018
gene178	664	369	1712	782	569	1110	1156	1454	956	1534	1163	2188	1556	532	795	643
gene179	56	28	108	73	42	40	85	157	99	103	85	83	139	26	51	75
gene180	5	7	42	4	3	18	3	30	26	21	5	46	26	1	29	10
gene181	5785	2747	9264	5788	18220	25778	37054	56474	31406	37546	28459	58153	54836	8609	20954	20486
gene182	6369	3986	14340	6339	7320	8888	10458	15083	9569	11584	8273	17836	20025	2995	8470	8023
gene183	418	280	1042	493	481	736	1035	1428	656	715	581	1108	1380	242	372	664
gene184	32	16	33	51	31	38	16	163	36	60	49	78	81	19	55	19
gene185	170	70	214	122	115	148	144	388	136	156	121	689	249	52	161	75
gene186	12	8	27	16	20	44	12	38	15	11	12	44	27	8	25	15
gene187	399	177	1148	567	246	494	736	1014	733	701	537	1458	972	218	512	470
